Date,FB,AMZN,ATVI,V,MSFT,HD,AIZ,FISV,MCD,GPN
2016-10-05,128.470001,844.359985,44.259026,82.736656,56.284008,124.67646,88.936958,99.690002,110.361946,78.999702
2016-10-06,128.740005,841.659973,43.722313,82.74659,56.38166,127.227066,87.958992,100.809998,110.858231,78.939735
2016-10-07,128.990005,839.429993,43.652737,82.270119,56.440243,125.389839,87.949211,99.980003,110.400871,75.971245
2016-10-10,130.240005,841.710022,43.523529,82.508354,56.674595,124.353973,88.800041,100.540001,111.626999,75.561455
2016-10-11,128.880005,831.0,42.638947,81.43631,55.844593,122.985825,88.506653,99.129997,110.624687,73.662422
2016-10-12,129.050003,834.090027,43.06633,81.644753,55.766476,123.806717,89.12278,100.089996,111.626999,73.772369
2016-10-13,127.82,829.280029,42.897362,81.267555,55.58094,123.415817,88.105675,99.730003,112.308189,73.312592
2016-10-14,127.879997,822.960022,43.424137,81.843285,56.069183,123.542862,88.976082,100.059998,111.023659,73.002762
2016-10-17,127.540001,812.950012,43.26511,81.545494,55.87389,122.291992,89.249908,99.849998,109.388832,72.972778
2016-10-18,128.570007,817.650024,43.911156,80.979683,56.303535,122.878334,89.28904,100.059998,108.260002,74.172157
2016-10-19,130.110001,817.690002,43.523529,82.20063,56.176594,123.024918,81.807526,99.809998,108.269737,74.332077
2016-10-20,130.0,810.320007,44.050304,81.892906,55.903187,123.376717,81.553253,99.650002,107.598282,73.552475
2016-10-21,132.070007,818.98999,44.268967,81.744026,58.256485,123.718758,80.986023,99.160004,110.867966,72.842834
2016-10-24,133.279999,838.090027,45.193306,82.557983,59.564964,124.871902,81.064262,100.510002,110.517647,74.022232
2016-10-25,132.289993,835.179993,44.785801,81.426376,59.555199,120.532951,80.438354,99.720001,109.690491,73.232643
2016-10-26,131.039993,822.590027,44.169571,81.148438,59.203667,119.91729,80.125404,99.989998,109.096886,73.622444
2016-10-27,129.690002,818.359985,43.453957,81.317177,58.686134,119.477539,78.404175,96.75,109.067688,72.433044
2016-10-28,131.289993,776.320007,43.056389,81.614975,58.461548,120.767494,78.218361,98.330002,109.087151,72.552979
2016-10-31,130.990005,789.820007,42.907299,81.90284,58.510365,119.233223,78.74646,98.480003,109.544525,72.483017
2016-11-01,129.5,785.409973,42.340767,81.019394,58.393192,117.161469,77.612022,98.559998,109.233116,71.713425
2016-11-02,127.169998,765.559998,42.340767,79.987038,58.031898,117.552368,76.986122,98.660004,109.369362,70.593987
2016-11-03,120.0,767.030029,43.106083,80.056526,57.81707,117.44487,78.60955,98.110001,108.717369,70.444069
2016-11-04,120.75,755.049988,41.446247,79.768661,57.328835,118.158257,77.973869,97.93,108.055634,70.773895
2016-11-07,122.150002,784.929993,40.839958,81.90284,58.998608,120.933624,78.218361,99.559998,109.787804,71.783379
2016-11-08,124.220001,787.75,40.760445,82.270119,59.047428,121.422241,78.325928,100.169998,111.043129,72.603073
2016-11-09,123.18,771.880005,39.905682,82.627464,58.754486,123.151962,80.213425,100.510002,111.889748,72.783005
2016-11-10,120.800003,742.380005,38.464504,81.267555,57.319069,126.093452,81.651054,99.800003,111.432388,70.903709
2016-11-11,119.019997,739.01001,39.170181,81.277473,57.631542,126.894806,81.162064,100.540001,111.150177,69.464241
2016-11-14,115.080002,719.070007,37.540161,77.803223,56.752712,124.764404,84.115547,100.120003,114.692345,66.545319
2016-11-15,117.199997,743.23999,38.295536,77.991837,57.873413,121.568832,84.105766,101.540001,115.139977,68.02478
2016-11-16,116.339996,746.48999,38.732861,79.658012,58.640213,122.477661,84.448059,103.209999,116.006058,69.914078
2016-11-17,117.790001,756.400024,39.696957,80.642792,59.613453,125.995728,84.418724,105.059998,116.239601,69.734138
2016-11-18,117.019997,760.159973,38.156387,80.394119,59.328362,125.409393,83.900391,104.290001,116.774826,70.683784
2016-11-21,121.769997,780.0,38.196144,81.259529,59.829727,125.301895,83.851494,105.440002,116.288261,71.96331
2016-11-22,121.470001,785.330017,36.94381,79.508797,60.085323,127.999069,83.675461,106.309998,116.473167,71.693413
2016-11-23,120.839996,780.119995,37.033264,79.150696,59.377514,128.223862,84.816978,107.599998,116.911064,72.063271
2016-11-25,120.379997,780.369995,36.993511,79.707733,59.50531,128.575653,85.033478,107.230003,117.417099,72.063271
2016-11-28,120.410004,766.77002,37.142593,78.663284,59.583958,127.666809,84.531601,106.610001,118.545914,71.513474
2016-11-29,120.870003,762.52002,37.719067,78.73291,60.055836,127.342598,84.698891,106.540001,118.34977,70.563828
2016-11-30,118.419998,750.570007,36.387222,76.912552,59.239883,127.126465,84.964584,104.620003,116.967003,68.52459
2016-12-01,115.099998,743.650024,35.363491,75.032516,58.197826,127.195251,85.397575,103.32,116.182449,66.395378
2016-12-02,115.400002,740.340027,35.492695,75.320984,58.246979,127.588219,84.728409,103.370003,115.956886,68.104736
2016-12-05,117.43,759.359985,36.258011,76.902603,59.200565,127.40155,85.279495,103.629997,116.986618,69.704163
2016-12-06,117.309998,764.719971,36.476673,76.703651,58.935135,126.478073,87.473961,103.25,116.947388,69.874092
2016-12-07,117.949997,770.419983,37.222111,78.892067,60.331097,130.132706,88.802452,104.82,117.604446,70.843735
2016-12-08,118.910004,767.330017,37.162472,78.862221,59.977184,130.201492,92.02037,104.709999,118.124214,71.753387
2016-12-09,119.68,768.659973,36.566124,78.722961,60.92094,131.046371,90.691879,104.790001,118.918579,72.163246
2016-12-12,117.769997,760.119995,36.94381,78.086334,61.11755,132.215469,90.672195,104.82,119.389305,71.213585
2016-12-13,120.309998,774.340027,37.092899,78.782646,61.913837,134.141022,90.59346,106.099998,120.311157,71.823364
2016-12-14,120.209999,768.820007,36.51643,78.713005,61.618916,133.590866,90.662346,106.029999,120.468063,71.43351
2016-12-15,120.57,761.0,36.764908,79.081062,61.520611,133.453308,90.996941,107.269997,119.99733,70.603821
