Date,AMZN,EQIX,ATVI,AVY,V,FISV,GOOGL,GOOG,INFO,RTN
2016-09-09,760.140015,362.779999,42.032658,73.767174,80.731522,100.279999,788.47998,759.659973,37.049999,132.719879
2016-09-12,771.48999,366.0,43.195534,74.70726,82.359467,101.160004,798.820007,769.02002,37.549999,133.539139
2016-09-13,761.01001,356.910004,43.14584,74.041374,81.287399,99.330002,788.719971,759.690002,36.990002,133.753708
2016-09-14,761.090027,355.290009,43.394318,73.953224,80.890343,98.379997,790.460022,762.48999,36.369999,133.266052
2016-09-15,769.690002,361.790009,44.318661,75.24585,81.406525,99.93,801.22998,771.76001,36.509998,134.309631
2016-09-16,778.52002,358.209991,44.149693,74.824776,81.46608,99.209999,797.969971,768.880005,36.66,133.383072
2016-09-19,775.099976,366.730011,43.851521,75.843193,81.90284,99.300003,795.390015,765.700012,36.5,134.114578
2016-09-20,780.219971,355.01001,43.861462,76.009674,81.873062,99.339996,799.780029,771.409973,36.709999,134.260864
2016-09-21,789.73999,356.910004,44.39817,76.528671,82.607613,101.5,805.030029,776.219971,36.93,135.684814
2016-09-22,804.700012,360.380005,44.239147,77.204353,82.74659,102.330002,815.950012,787.210022,36.77,136.026184
2016-09-23,805.75,359.779999,44.090061,76.626602,81.932617,101.190002,814.960022,786.900024,36.66,135.158157
2016-09-26,799.159973,362.399994,43.712372,75.852989,81.207993,100.25,802.650024,774.210022,36.25,135.119141
2016-09-27,816.109985,362.26001,43.940971,76.166351,81.55542,100.610001,810.72998,783.01001,35.639999,135.675049
2016-09-28,828.719971,362.380005,43.891277,76.685364,82.359467,100.230003,810.059998,781.559998,36.779999,135.928635
2016-09-29,829.049988,359.950012,43.940971,75.4515,81.317177,99.720001,802.640015,775.01001,37.310001,133.168503
2016-09-30,837.309998,360.25,44.030426,76.176147,82.091438,99.470001,804.059998,777.289978,37.549999,132.768646
2016-10-03,836.73999,356.190002,43.831642,76.420959,82.250267,99.75,800.380005,772.559998,37.52,134.507217
2016-10-04,834.030029,353.119995,43.861462,74.178467,82.121223,98.889999,802.789978,776.429993,37.0,134.507217
2016-10-05,844.359985,349.029999,44.259026,74.472244,82.736656,99.690002,801.22998,776.469971,36.75,134.468002
2016-10-06,841.659973,353.149994,43.722313,75.598381,82.74659,100.809998,803.080017,776.859985,36.700001,135.566254
2016-10-07,839.429993,351.089996,43.652737,74.814987,82.270119,99.980003,800.710022,775.080017,36.41,134.124802
2016-10-10,841.710022,356.420013,43.523529,74.628922,82.508354,100.540001,814.169983,785.940002,36.57,134.634689
2016-10-11,831.0,352.799988,42.638947,73.992409,81.43631,99.129997,809.570007,783.070007,36.119999,133.654114
2016-10-12,834.090027,359.899994,43.06633,74.501617,81.644753,100.089996,811.77002,786.140015,36.259998,134.909271
