Date,CFG,PRU,PNC,RF,MTB,SCHW,HBAN,RJF,USB,KEY
2016-11-29,31.826071,97.665306,107.016197,12.910301,138.133362,38.165829,11.988455,70.292885,48.045567,16.754395
2016-11-30,32.926571,98.477806,108.269913,13.262936,141.929596,38.3643,12.164182,71.12336,48.554398,17.049885
2016-12-01,33.781429,100.30835,110.287605,13.556796,145.035599,39.307034,12.720648,72.804054,49.307865,17.591623
2016-12-02,33.555431,99.583969,108.798828,13.458842,144.118576,38.463531,12.632785,72.131767,48.926239,17.631021
2016-12-05,33.555431,100.543289,109.210197,13.733113,145.28212,38.701698,12.720648,72.685417,49.278507,17.434027
2016-12-06,34.095852,101.453667,109.200409,13.94861,146.83017,38.969635,12.906138,72.527229,49.640564,17.680271
2016-12-07,34.449589,103.245064,110.356171,14.229059,149.176926,39.068867,12.896374,72.813942,50.257034,17.975761
2016-12-08,34.921234,104.321854,112.462013,14.317622,151.356064,39.118488,13.14044,73.150085,50.785435,18.093962
2016-12-09,34.891747,103.783463,112.657898,14.366823,152.016708,39.019257,13.189253,72.309723,50.922436,18.182606
2016-12-12,34.400452,102.315102,111.727417,14.130656,150.665848,38.731468,12.984239,70.777321,50.472309,17.926514
2016-12-13,34.194115,102.618568,112.344475,14.061775,151.079971,38.652081,12.935426,70.787216,50.589733,17.808317
