Date,O,T,SJM,NEM,SCG,GIS,AWK,TSN,CPB,REG
2016-11-08,56.413425,35.22657,129.257751,35.828285,70.666382,61.552769,70.975227,69.256866,54.151375,67.56781
2016-11-09,53.235741,35.655117,127.922081,36.801987,67.492851,60.615616,70.808617,68.488426,53.518417,66.000938
2016-11-10,51.953178,34.826595,124.295288,34.45715,66.489685,59.002159,69.612961,65.257103,51.911697,65.520309
2016-11-11,52.058468,34.769455,123.876068,31.387005,66.692245,58.973179,69.857971,65.552658,52.096714,65.981712
2016-11-14,53.235741,34.40757,125.591972,32.390514,66.962326,59.127762,69.20134,67.463867,53.05101,67.647232
2016-11-15,53.283596,35.017063,125.572472,33.692097,68.110199,59.224373,70.191193,67.779121,53.498943,64.790672
2016-11-16,53.743027,35.378944,126.693642,33.54306,67.155251,59.185722,70.514595,67.99585,53.021797,64.722893
2016-11-17,52.517895,35.626545,121.721443,32.489872,67.406052,59.282341,70.357796,65.710274,52.797832,63.309135
2016-11-18,52.7859,35.769398,121.721443,32.479935,67.184189,59.185722,70.396996,66.360489,52.807568,63.899811
2016-11-21,52.728462,35.940819,123.2911,32.857498,67.888351,59.543201,70.994827,56.745308,53.596321,64.016014
2016-11-22,54.173733,36.7122,123.739571,32.98666,68.486404,60.557644,72.660912,58.085133,55.524384,64.810036
2016-11-23,53.71431,36.883621,122.433151,31.297585,67.3964,59.398281,71.043823,57.789581,55.329632,64.567963
2016-11-25,54.145023,37.340733,123.2911,31.714886,68.496048,60.19051,72.876526,58.764889,56.011272,64.558273
2016-11-28,53.934456,37.655006,123.807816,33.235054,69.923645,59.977966,73.405746,57.474327,55.865208,64.577644
2016-11-29,54.503113,37.597866,124.080803,33.334408,69.885063,60.538322,74.464211,58.310013,56.137863,64.780998
2016-11-30,53.25436,36.788391,122.793877,32.231544,68.033035,58.876556,71.024231,56.183716,55.397797,64.722893
2016-12-01,51.381241,37.02647,121.614204,32.062634,67.618263,58.538414,70.289192,55.550766,55.650978,63.435017
2016-12-02,52.572357,36.769341,122.140671,33.364223,68.409225,58.876556,71.073219,56.42107,56.118385,63.725513
2016-12-05,52.572357,36.788391,122.852379,33.264862,68.959045,59.060127,71.073219,56.638645,56.030746,63.928864
2016-12-06,52.43787,37.474056,123.57383,32.856888,69.074799,58.963512,70.779221,56.75732,56.118385,63.919182
2016-12-07,53.263969,38.521618,125.426208,33.453926,70.319122,60.857151,71.210434,58.171555,57.131104,65.023079
2016-12-08,53.148701,38.483528,125.533455,33.702686,70.129539,60.364418,71.592667,60.911018,56.751335,65.429764
2016-12-09,53.41766,38.45496,127.220116,32.628025,70.742073,61.06004,71.563248,61.237381,57.559566,65.545967
2016-12-12,53.965183,39.159676,126.927635,32.438961,71.150421,61.707355,72.268883,61.464848,57.803017,66.85321
2016-12-13,53.897949,39.388241,127.307854,33.702686,71.937958,61.581757,72.670708,62.048347,58.416485,66.310951
2016-12-14,52.49551,39.140633,124.870506,31.523506,70.654556,60.741211,70.504807,61.454952,57.549828,64.858459
