Date,LH,PFE,WAT,MCO,EBAY,ZBH,CSCO,MRK,MDT,ABBV
2016-07-21,137.880005,34.683395,149.460007,102.276848,29.93,124.019478,29.282459,56.673,85.565842,61.07761
2016-07-22,138.820007,34.711742,149.399994,103.237747,30.49,123.21769,29.406942,56.701916,84.748512,61.001129
2016-07-25,137.839996,34.749531,148.440002,103.639748,30.68,122.099144,29.483549,56.451283,84.573372,61.488682
2016-07-26,138.0,34.796776,155.089996,104.120209,31.4,122.366402,29.569729,56.258484,85.86747,61.612957
2016-07-27,137.600006,34.815662,157.399994,103.07106,31.309999,121.435944,29.454821,56.489838,85.118248,62.043152
2016-07-28,138.509995,34.645607,157.059998,104.110397,31.17,126.177368,29.225006,56.325962,85.059875,61.871075
2016-07-29,139.559998,34.853458,158.929993,103.94371,31.16,129.81015,29.234581,56.54768,85.264206,63.314613
2016-08-01,139.630005,35.250267,159.580002,103.218132,31.25,129.730942,29.426094,56.54768,85.682602,63.993355
2016-08-02,139.380005,34.381058,157.210007,102.159187,30.790001,129.265732,29.320761,56.229565,85.273933,63.840385
2016-08-03,140.130005,33.618942,157.199997,102.551392,30.950001,129.107346,29.416517,55.574055,84.330116,63.639629
2016-08-04,140.089996,33.485573,157.449997,101.884651,31.059999,129.582489,29.493122,55.75721,84.417694,63.190331
2016-08-05,140.759995,33.761841,157.25,103.002419,31.389999,130.06752,29.722942,61.560432,84.738777,63.610954
2016-08-08,139.350006,33.27599,157.389999,102.463158,31.15,130.32489,29.694212,60.596439,84.612305,63.419758
2016-08-09,139.970001,33.418892,158.270004,102.208214,31.110001,131.740356,29.627184,60.239769,85.371231,63.821278
2016-08-10,140.149994,33.466522,158.509995,101.68853,31.120001,127.612656,29.541002,60.384361,84.93338,63.505806
2016-08-11,140.979996,33.485573,159.300003,102.472946,31.200001,128.186783,29.636761,61.338715,85.429626,64.002899
2016-08-12,140.050003,33.323624,158.25,101.44342,30.889999,128.028397,29.560154,61.06879,85.176636,64.232353
2016-08-15,139.770004,33.447472,159.139999,103.022034,31.049999,128.592621,29.866577,61.039879,85.536644,64.423546
2016-08-16,138.889999,33.142624,158.229996,102.08075,30.83,126.998955,29.799545,60.769958,84.913925,63.802147
2016-08-17,138.240005,33.476048,158.490005,102.119965,30.610001,126.484215,29.416517,61.010956,84.777702,63.888195
2016-08-18,138.710007,33.523678,159.100006,102.562767,30.52,126.721794,29.186703,61.338715,84.729057,63.830826
2016-08-19,138.050003,33.323624,160.259995,102.907173,30.629999,126.484215,29.225006,61.078434,84.69014,64.146301
2016-08-22,138.429993,33.19025,160.779999,102.828438,30.620001,126.959351,29.330336,61.261597,84.96257,64.060272
2016-08-23,138.070007,33.428413,161.820007,103.940376,30.67,128.454056,29.665485,61.290516,85.429626,63.25724
2016-08-24,136.320007,33.1712,157.990005,103.87149,31.25,126.504021,29.74209,60.471127,84.310677,62.19611
2016-08-25,135.419998,33.123569,158.110001,104.009247,31.34,126.860367,29.962334,60.075886,83.084679,61.871075
2016-08-26,136.039993,33.1712,158.210007,104.520935,31.309999,128.196671,30.019785,60.586803,84.262009,61.765915
2016-08-29,137.740005,33.447472,158.899994,105.445908,31.4,129.265732,30.240028,60.741039,85.098793,61.670322
2016-08-30,137.630005,33.228363,157.520004,106.508621,31.77,128.553009,30.201725,60.451843,84.505257,61.335728
2016-08-31,136.929993,33.152145,157.309998,106.951431,32.16,128.29567,30.105968,60.528965,84.680405,61.278362
2016-09-01,136.130005,33.037827,156.100006,106.813675,32.130001,127.048454,30.240028,60.635002,84.631752,61.211445
2016-09-02,137.710007,33.123569,156.190002,107.679581,32.279999,128.087784,30.47942,60.71212,84.96257,61.297489
2016-09-06,138.369995,33.123569,156.690002,108.329033,32.41,128.622314,30.517723,60.962757,84.81662,61.765915
2016-09-07,140.460007,33.19025,159.229996,108.388069,32.509998,128.652008,30.441116,60.606079,83.824165,62.110065
2016-09-08,139.119995,33.075935,159.490005,108.181435,32.700001,128.681732,30.134695,60.962757,83.931198,61.24012
2016-09-09,135.020004,32.485291,151.130005,104.914543,31.889999,124.019478,29.541002,60.239769,82.578728,60.570942
2016-09-12,136.970001,33.009251,153.440002,106.872711,32.490002,125.266701,30.105968,60.914558,83.87281,61.259247
2016-09-13,133.339996,32.428131,153.070007,105.60334,31.91,122.267418,29.74209,60.021187,82.54953,60.551823
2016-09-14,132.990005,32.33287,152.889999,105.60334,31.799999,122.158539,29.684637,59.574497,82.393845,60.551823
2016-09-15,134.679993,32.523399,155.160004,106.961273,31.98,123.623528,29.981482,60.574688,83.347389,60.561382
2016-09-16,135.380005,32.33287,153.889999,106.744789,31.77,123.039513,29.531427,60.477581,83.687943,60.484898
2016-09-19,135.009995,32.056602,154.679993,106.744789,31.57,123.702713,29.703787,59.55508,83.668472,60.140751
2016-09-20,134.669998,32.209026,155.089996,106.223267,31.360001,123.524544,29.780396,60.147419,84.028488,60.494457
2016-09-21,136.720001,32.656769,156.720001,107.709114,31.969999,126.142807,30.029364,60.885426,84.78743,61.278362
2016-09-22,137.830002,32.532921,157.820007,108.397919,32.279999,127.808975,30.316633,61.196167,85.449081,62.215229
2016-09-23,137.389999,32.637714,157.669998,107.522148,32.07,127.273415,30.010212,61.137901,85.342049,62.119625
2016-09-26,137.020004,32.047073,156.779999,107.246628,31.67,125.83535,29.751669,60.351349,84.223091,61.24968
2016-09-27,137.789993,32.228085,159.479996,108.230637,31.940001,126.956047,30.14427,60.75919,84.751129,61.727676
2016-09-28,136.889999,32.380501,158.240005,107.817352,31.85,127.551102,30.163422,61.46806,84.81958,61.393082
2016-09-29,135.460007,31.742228,156.339996,106.026459,32.299999,126.787453,30.058088,60.11829,83.509254,60.05471
2016-09-30,137.479996,32.266178,158.490005,106.547981,32.900002,128.949493,30.374086,60.603821,84.487106,60.293705
2016-10-03,136.330002,32.085182,159.050003,107.531982,32.549999,128.810669,30.412706,60.710632,84.477333,60.446659
2016-10-04,136.0,32.123295,158.199997,106.646385,32.560001,128.166016,30.267883,60.652374,84.203537,60.226788
2016-10-05,136.630005,32.294765,158.270004,106.754616,32.150002,129.475143,30.499601,60.982533,84.389328,60.599621
2016-10-06,137.479996,32.056602,157.759995,107.118698,32.130001,129.713165,30.393396,60.846588,84.047081,60.06427
2016-10-07,138.869995,31.970865,159.0,106.528305,31.620001,129.921448,30.383741,60.9534,84.056854,60.159866
2016-10-10,139.100006,32.018494,158.889999,107.404068,31.950001,131.647125,30.383741,62.050705,84.262199,60.523144
2016-10-11,136.479996,31.561226,156.830002,105.859184,31.459999,125.577499,29.968584,60.137714,81.357956,59.643639
2016-10-12,136.520004,31.504068,155.75,106.528305,31.5,125.994041,29.292746,59.875526,81.827339,59.055115
2016-10-13,136.369995,31.208744,154.820007,104.904694,31.51,125.865112,29.128614,60.700924,81.465523,58.997227
2016-10-14,135.789993,31.11348,154.899994,105.367188,31.889999,126.103127,29.138269,60.341633,80.878815,58.05172
2016-10-17,135.970001,30.961058,155.169998,104.993256,31.809999,125.577499,29.176888,59.739582,80.741898,58.022781
2016-10-18,138.309998,31.142057,156.740005,106.075668,31.639999,128.037094,29.389296,60.293079,81.700226,59.383141
2016-10-19,138.029999,31.05632,157.289993,106.666061,32.52,127.025482,29.302401,60.079445,81.817551,59.267368
2016-10-20,139.820007,30.999165,157.190002,106.361031,29.02,127.154411,29.118961,60.127998,82.159798,59.585751
2016-10-21,138.759995,30.65621,156.179993,100.604607,29.059999,126.470078,29.109304,59.428837,82.052246,58.83321
2016-10-24,139.669998,30.608578,157.75,101.194992,29.219999,126.936218,29.408604,58.991859,81.455742,58.968285
2016-10-25,138.410004,30.751472,138.600006,101.126122,29.049999,124.555969,29.292746,60.157131,80.644127,59.383141
2016-10-26,126.459999,30.865797,137.419998,100.496361,28.82,120.083115,29.495497,59.108383,79.324013,58.871799
2016-10-27,123.949997,30.942001,140.800003,100.525887,28.809999,119.993851,29.331364,59.516232,79.333786,59.296307
2016-10-28,124.0,30.418047,139.809998,99.551712,28.6,121.541008,29.534119,57.137138,80.116074,55.572201
2016-10-31,125.339996,30.208464,139.139999,98.912109,28.51,104.532211,29.62101,57.020615,80.204079,53.816273
2016-11-01,123.830002,29.598772,137.429993,97.455788,28.379999,102.905716,29.427914,57.583824,79.128433,54.462685
2016-11-02,124.019997,29.179604,136.419998,96.393051,28.26,101.180038,29.341019,57.137138,79.294678,54.790718
2016-11-03,121.629997,28.474644,136.789993,96.491455,28.059999,101.695755,29.273438,56.739002,79.793381,53.922401
2016-11-04,121.889999,28.579437,138.039993,96.04866,27.950001,102.161888,29.147924,57.117714,80.321426,54.067123
2016-11-07,125.139999,28.941442,140.289993,97.987144,28.24,103.590027,29.872036,58.312119,82.091354,56.836082
2016-11-08,126.059998,28.864471,141.149994,98.085541,28.030001,100.9916,29.929966,58.758804,82.472717,56.739605
2016-11-09,121.720001,30.904226,142.380005,99.059715,28.290001,100.783333,30.277542,62.322598,81.02549,60.434769
2016-11-10,126.209999,32.22237,143.320007,98.6661,28.16,99.851059,29.929966,63.080021,80.888596,61.746895
2016-11-11,124.82,31.356438,142.089996,98.833397,28.639999,97.222893,30.277542,62.099258,80.252975,60.878578
2016-11-14,127.5,31.154385,140.179993,98.459473,27.889999,97.18322,30.287195,61.691402,77.006485,60.753155
2016-11-15,128.029999,31.010063,141.470001,97.70179,28.49,100.614731,30.605803,61.807938,78.492828,60.65667
2016-11-16,127.010002,30.750284,140.699997,97.10154,28.33,100.049408,30.480289,60.817455,79.099098,59.373497
2016-11-17,127.120003,30.528988,138.850006,99.956017,28.870001,99.970085,29.012758,60.885426,79.988953,59.527866
2016-11-18,126.0,30.288452,135.179993,99.323883,28.690001,99.811401,29.138269,60.079445,79.138214,58.389404
2016-11-21,126.120003,30.375046,137.649994,99.886879,29.0,101.249451,29.012758,60.497005,78.795975,58.292923
2016-11-22,124.730003,30.144131,135.300003,100.410362,29.059999,99.979996,28.85828,59.914364,71.970505,56.855377
2016-11-23,126.010002,30.230724,138.350006,99.620201,28.9,100.168434,28.68449,59.856106,74.102242,58.061378
2016-11-25,127.510002,30.490501,138.720001,99.778221,28.950001,101.517235,29.051376,60.409607,73.847992,58.379753
