Date,Open,High,Low,Close,Adj Close,Volume,100movingaverage,3dexpmv,10dexpmv,SwingIndex,TrueRange,PDM,NDM,Gapo10,Gapo5,Adj Close_1d_percentC,Adj Close_2d_percentC,Adj Close_3d_percentC,Adj Close_4d_percentC,Adj Close_5d_percentC,Adj Close_6d_percentC,Adj Close_7d_percentC,Adj Close_classHigh,Adj Close_classMedium,Adj Close_classLow,EQIX,AVY,MAS,STZ,BSX,AMZN,FB,GPN,BDX,FBHS
2016-03-02,105.989998,107.040001,105.410004,107.0,105.247643,595200,101.029710833,103.872976769,101.792343667,0.245105683435,1.629997,0.0,0.0,0.880813477993,1.09221799853,0.00121485855983,0.00616816663533,-0.0085981782984,-0.00934576748669,-0.00224298609709,-0.00205611255351,0.0135513343515,1,0,0,304.01001,65.338303,28.480513,141.192078,17.370001,580.210022,109.949997,62.171608,146.564804,50.410877
2016-03-03,106.699997,107.169998,105.919998,107.129997,105.375504,513100,101.130775791,105.017391662,102.50124217,0.0450685950986,1.25,0.129997,0.0,0.863322562658,0.739938725138,0.00494729780842,-0.0098011298717,-0.0105478119469,-0.00345364896191,-0.00326700216779,0.0123215069035,0.0240829215868,1,0,0,310.589996,66.103561,28.38254,141.850021,17.41,577.48999,109.580002,62.91103,145.378418,50.401073
2016-03-04,107.0,108.639999,105.970001,107.660004,105.896828,814800,101.239095159,105.407879939,103.306338571,0.350661044585,2.669998,1.470001,0.0,0.868056185281,0.541364746538,-0.014675822018,-0.0154188282202,-0.00835958939204,-0.00817386144937,0.00733790628743,0.0190414202019,0.0170909274072,-1,-1,0,309.720001,65.735466,28.402134,141.309921,17.440001,575.140015,108.389999,63.210796,145.038086,51.097271
2016-03-07,106.82,107.449997,105.129997,106.080002,104.342705,562100,101.308064267,105.343217633,103.709299525,0.100566691925,2.530007,0.0,0.840004,0.866287220909,0.839216706057,-0.000754072841029,0.00641030918261,0.00659880343336,0.0223416097944,0.0342194406403,0.0322398964067,0.0381787399512,-1,0,0,297.730011,65.812965,28.372746,136.213333,17.33,562.799988,105.730003,60.482914,144.581055,50.342236
2016-03-08,105.120003,106.139999,104.660004,106.0,104.264023,673500,101.372324239,105.115177502,104.19287328,0.00540506125774,1.479995,0.0,0.469993,0.866287220909,0.780158462515,0.00716978856647,0.00735842506288,0.0231131116051,0.0349999059599,0.0330188678793,0.0389621931239,0.0500942688544,1,0,0,298.75,66.045448,28.549093,137.450668,17.35,560.26001,105.93,58.884171,143.770325,49.812725
2016-03-09,106.599998,107.0,106.040001,106.760002,105.011574,550000,101.449755085,104.443160376,104.553075239,0.588891307873,1.0,0.860001,0.0,0.866287220909,0.858237868229,0.000187293640604,0.0158298265294,0.027632001783,0.0256650662145,0.0315660824206,0.0426189117021,0.0538589679648,1,0,0,301.26001,66.936638,28.637268,137.755066,17.42,559.469971,107.510002,59.223896,143.692184,49.920586
2016-03-10,107.160004,107.68,105.519997,106.779999,105.031242,579000,101.524369396,104.636618692,104.597723851,-0.0362435340999,2.160003,0.68,0.0,0.684845002723,0.858237868229,0.0156396036905,0.0274395688856,0.0254730016427,0.0313729128329,0.0424236723774,0.0536616238433,0.0509459271176,1,1,0,306.709991,67.450043,28.529501,137.971115,17.48,558.929993,107.32,59.783463,145.059647,49.881367
2016-03-11,107.599998,108.550003,106.809998,108.449997,106.673889,1310800,101.629461633,105.327344649,104.769835256,1.42168451075,1.770004,0.870003,0.0,0.599882526477,0.858237868229,0.0116182602099,0.00968197568948,0.0154910354867,0.0263716268936,0.0374365276961,0.0347626493677,0.0374365276961,1,1,0,318.0,67.663162,28.891998,139.503036,18.049999,569.609985,109.410004,60.113205,146.30014,50.371647
2016-03-14,108.059998,110.0,107.519997,109.709999,107.913254,711200,101.75513748,106.072843606,105.28960357,0.881741069099,2.480003,1.449997,0.0,0.599882526477,0.844026905335,-0.0019140466286,0.00382829712465,0.014583926827,0.0255217491635,0.0228785798638,0.0255217491635,0.0166803699572,-1,0,0,314.019989,67.062584,28.911591,139.345901,18.139999,573.369995,109.889999,58.884171,147.25737,50.812908
2016-03-15,109.0,110.239998,108.629997,109.5,107.706703,650900,101.871834843,107.247054579,105.524236445,0.0790523483397,1.610001,0.239998,0.0,0.727540931714,1.04087575604,0.0057533559448,0.0165296119035,0.0274884098903,0.0248401717394,0.0274884098903,0.0186300754188,0.0157990909814,1,0,0,312.470001,66.849472,29.215303,141.535797,17.91,577.02002,110.669998,58.424522,145.821533,51.862114
2016-03-16,108.82,110.400002,108.650002,110.129997,108.326378,575300,101.995960673,107.926777184,105.734296745,0.451199562663,1.75,0.160004,0.0,0.746633731954,0.964193150586,0.0107146109879,0.0216107197824,0.01897763073,0.0216107197824,0.0128030589189,0.00998826896991,0.0165258363942,1,1,0,316.76001,67.033508,29.372059,141.938385,17.889999,574.27002,112.18,59.03405,146.30014,53.058399
2016-03-17,109.919998,111.540001,109.830002,111.309998,109.487053,540800,102.137302038,108.228786051,106.013580974,1.01612657009,1.709999,1.139999,0.0,0.758911741076,0.984906738066,0.0107805988714,0.00817542326215,0.0107805988714,0.00206630824194,-0.000718642048024,0.00574962045969,0.0138352248827,1,1,0,316.980011,67.614738,29.9403,144.197006,17.93,559.440002,111.019997,59.853409,144.278259,53.10743
2016-03-18,111.860001,113.029999,111.18,112.510002,110.667389,959300,102.295266611,109.11911847,106.302427132,0.977083375997,1.849999,1.489998,0.0,0.837588248863,0.965508408089,-0.0025773898036,0.0,-0.00862134734199,-0.0113765944184,-0.00497731992213,0.00302204653984,0.0123545699628,-1,0,0,315.76001,68.254066,30.146046,144.393417,18.120001,552.080017,111.449997,59.303833,146.749466,53.931103
2016-03-21,111.940002,112.589996,111.540001,112.220001,110.382156,590900,102.442300964,110.016426287,106.881036111,0.000549734116484,1.049995,0.0,0.0,0.922725198558,1.06034844399,0.00258404990749,-0.0060595754263,-0.0088219421987,-0.00240613165773,0.0056139055664,0.0149705446956,0.0184458709069,1,0,0,317.390015,68.7481,30.234217,144.550522,18.110001,553.97998,111.849998,59.433731,145.7043,53.548683
2016-03-22,111.580002,112.970001,111.089996,112.510002,110.667389,410400,102.589177536,110.579766596,107.557876841,0.211538138561,1.880005,0.0,0.450005,0.922725198558,0.920572942903,-0.00862134734199,-0.0113765944184,-0.00497731992213,0.00302204653984,0.0123545699628,0.0158209389037,0.0362634741477,-1,0,0,319.040009,69.203392,30.439957,146.730591,18.290001,560.47998,112.25,59.573627,146.075485,53.529076
2016-03-23,112.089996,112.660004,111.269997,111.540001,109.713287,1042200,102.714161912,110.345152242,108.128270869,-0.0624041683629,1.390007,0.0,0.0,0.875640052662,0.917741546937,-0.00277920759042,0.0036757170533,0.0117446485766,0.0211583306223,0.0246548442214,0.0452751543211,0.0347856864411,-1,0,0,319.359985,69.116203,30.312593,147.408142,18.16,569.630005,112.540001,59.623589,145.77269,53.587906
2016-03-24,110.730003,111.25,109.089996,111.230003,109.408371,962900,102.82957931,110.13970787,108.744666456,0.0188789802471,2.450005,0.0,2.180001,0.875640052662,0.722705649792,0.00647291421604,0.0145643334732,0.0240042510093,0.0275105092279,0.048188287165,0.0376695856298,0.0300278120401,1,0,0,320.75,68.767464,30.263609,147.20192,17.93,582.950012,113.050003,60.123192,145.665253,53.499657
2016-03-28,111.660004,112.309998,110.919998,111.949997,110.116562,367400,102.953087492,109.694757759,109.186566445,0.470488356457,1.39,1.059998,0.0,0.793790454513,0.851962958085,0.00803938103335,0.0174185877688,0.0209022962413,0.0414470894941,0.030996036727,0.0234034095616,0.03126403456,1,0,0,323.769989,69.038712,30.567324,146.720749,18.040001,579.869995,113.690002,60.043259,145.567581,53.931103
2016-03-29,111.550003,112.940002,111.07,112.849998,111.001831,306900,103.087233217,109.922823762,109.514327838,0.551275740285,1.870002,0.630004,0.0,0.74115175649,0.842428547146,0.00930440507779,0.0127603300526,0.0331412731381,0.0227735702846,0.0152414963317,0.023039430764,0.00824091811603,1,0,0,329.339996,70.162399,30.792658,147.01535,18.549999,593.859985,116.139999,62.91103,147.999725,54.882252
2016-03-30,113.57,114.18,112.879997,113.900002,112.034637,401000,103.233911967,110.74589587,109.976356714,0.832604270884,1.330002,1.239998,0.0,0.643452873893,0.842428547146,0.00342406607699,0.0236171247647,0.0133449979402,0.00588235939926,0.0136084075499,-0.00105368306768,0.00983322684394,1,0,0,328.109985,70.133331,30.959211,148.871338,18.82,598.690002,114.699997,62.731163,148.996033,54.715557
2016-03-31,114.010002,114.669998,113.400002,114.290001,112.418251,532900,103.382046468,111.583017402,110.406245171,0.232469747613,1.269996,0.489998,0.0,0.742724974236,1.01108505264,0.0201241522607,0.00988707785536,0.00244990468674,0.0101495886108,-0.00446246935473,0.00638729026304,-0.00524978813271,1,1,1,330.709991,69.852409,30.812254,148.370499,18.809999,593.640015,114.099998,65.249214,148.292755,54.95089
2016-04-01,113.839996,116.800003,113.57,116.589996,114.680573,726400,103.561388159,112.645482289,110.81378592,1.89897706651,3.230003,2.130005,0.0,0.746634354599,1.06819226858,-0.0100351260017,-0.0173255848661,-0.00977779383785,-0.0241015973996,-0.0134658727246,-0.0248733846141,-0.0266745440834,-1,-1,0,329.940002,70.578934,31.390289,149.931885,18.940001,598.5,116.059998,65.099327,149.923965,55.372532
